경도,위도,최근접 지하철,역과 거리(m),시군구,번지,본번,부번,전월세구분,면적(제곱m),계약월,계약일,보증금(만원),월세(만원),총비용,층,건축년도,도로명,계약기간(개월),계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
127.0397618,37.584897,고려대역,687,서울특별시 동대문구 제기동 690-12,690,12,제기힐하우스,전세,29.98,202302,27,24150,0,24150,2,2019,경동시장로21길 10,-,-,-, , 
127.0397618,37.584897,고려대역,687,서울특별시 동대문구 제기동 690-12,690,12,제기힐하우스,전세,28.64,202304,25,20000,0,20000,4,2019,경동시장로21길 10,-,신규,-,0,0
127.0397618,37.584897,고려대역,687,서울특별시 동대문구 제기동 690-12,690,12,제기힐하우스,전세,29.98,202307,28,23000,0,23000,2,2019,경동시장로21길 10,-,신규,-,0,0
127.0341221,37.5847885,안암역,463,서울특별시 동대문구 제기동 67-236,67,236,제이하우스,월세,34.68,202306,7,100,31,813,4,2022,제기로6길 38,23,신규,-,0,0
127.0410109,37.5811098,제기동역,628,서울특별시 동대문구 제기동 622-1,622,1,주함해븐빌(622-1),전세,54.92,202303,23,6520,0,6520,6,2015,경동시장로10길 6,-,신규,-,0,0
127.0410109,37.5811098,제기동역,628,서울특별시 동대문구 제기동 622-1,622,1,주함해븐빌(622-1),월세,56.17,202310,23,6975,1,6998,5,2015,경동시장로10길 6,23,신규,-,0,0
127.0394906,37.5824344,제기동역,622,서울특별시 동대문구 제기동 893-3,893,3,준,전세,12.34,202211,19,6000,0,6000,5,2012,고산자로44길 16-2,-,-,-, , 
127.0394906,37.5824344,제기동역,622,서울특별시 동대문구 제기동 893-3,893,3,준,전세,12.45,202302,14,5300,0,5300,2,2012,고산자로44길 16-2,-,-,-, , 
127.0394906,37.5824344,제기동역,622,서울특별시 동대문구 제기동 893-3,893,3,준,전세,12.45,202302,14,5300,0,5300,2,2012,고산자로44길 16-2,-,-,-, , 
127.0394906,37.5824344,제기동역,622,서울특별시 동대문구 제기동 893-3,893,3,준,전세,12.45,202304,24,6000,0,6000,4,2012,고산자로44길 16-2,-,-,-, , 
127.0394906,37.5824344,제기동역,622,서울특별시 동대문구 제기동 893-3,893,3,준,전세,12.45,202306,12,6000,0,6000,3,2012,고산자로44길 16-2,-,-,-, , 
127.0416088,37.5814418,청량리역,614,서울특별시 동대문구 제기동 617,617,0,중앙하이츠,전세,50.04,202212,17,31000,0,31000,3,2017,경동시장로10길 15,-,갱신,사용,"30,000",0
127.0416088,37.5814418,청량리역,614,서울특별시 동대문구 제기동 617,617,0,중앙하이츠,전세,50.04,202212,17,31000,0,31000,3,2017,경동시장로10길 15,-,-,-, , 
127.0416088,37.5814418,청량리역,614,서울특별시 동대문구 제기동 617,617,0,중앙하이츠,전세,41.76,202306,28,26000,0,26000,2,2017,경동시장로10길 15,-,신규,-,0,0
127.0332221,37.5793597,제기동역,201,서울특별시 동대문구 제기동 1158-34,1158,34,지원하우스,전세,40.15,202308,8,23000,0,23000,3,2016,왕산로19다길 18,-,신규,-,0,0
127.0369212,37.5903999,고려대역,55,서울특별시 동대문구 제기동 1149-4,1149,4,청양,월세,13.2,202211,23,500,36,932,2,2001,회기로2길 16,12,신규,-,0,0
127.0369212,37.5903999,고려대역,55,서울특별시 동대문구 제기동 1149-4,1149,4,청양,월세,13.2,202212,16,300,42,804,4,2001,회기로2길 16,12,신규,-,0,0
127.0369212,37.5903999,고려대역,55,서울특별시 동대문구 제기동 1149-4,1149,4,청양,월세,14,202305,25,500,40,980,3,2001,회기로2길 16,12,신규,-,0,0
127.0369212,37.5903999,고려대역,55,서울특별시 동대문구 제기동 1149-4,1149,4,청양,월세,14,202305,25,500,40,980,3,2001,회기로2길 16,12,신규,-,0,0
127.0369212,37.5903999,고려대역,55,서울특별시 동대문구 제기동 1149-4,1149,4,청양,월세,13.81,202306,7,500,38,956,2,2001,회기로2길 16,12,신규,-,0,0
127.0345367,37.5861048,안암역,469,서울특별시 동대문구 제기동 138-3,138,3,태양빌리지,전세,33.3,202301,10,10500,0,10500,2,2015,제기로6길 9-3,-,신규,-,0,0
127.0345367,37.5861048,안암역,469,서울특별시 동대문구 제기동 138-3,138,3,태양빌리지,월세,30.04,202306,24,500,65,1280,2,2015,제기로6길 9-3,12,신규,-,0,0
127.0325933,37.5794669,제기동역,252,서울특별시 동대문구 제기동 1158-12,1158,12,태종빌하우스,월세,53.52,202305,24,2000,100,3200,4,2019,왕산로19마길 3,12,신규,-,0,0
127.0346438,37.5847454,안암역,508,서울특별시 동대문구 제기동 67,67,0,토토그랑빌,전세,57.42,202308,5,24000,0,24000,4,2008,제기로2가길 18,-,갱신,-,"24,000",0
127.0346438,37.5847454,안암역,508,서울특별시 동대문구 제기동 67,67,0,토토그랑빌,전세,57.42,202308,5,24000,0,24000,4,2008,제기로2가길 18,-,-,-, , 
127.0335647,37.5857844,안암역,387,서울특별시 동대문구 제기동 67-29,67,29,파라네(67-29),월세,27.36,202301,6,1000,60,1720,5,2017,제기로4길 14,12,신규,-,0,0
127.0335647,37.5857844,안암역,387,서울특별시 동대문구 제기동 67-29,67,29,파라네(67-29),월세,27.36,202301,18,1000,63,1756,3,2017,제기로4길 14,12,신규,-,0,0
127.0335647,37.5857844,안암역,387,서울특별시 동대문구 제기동 67-29,67,29,파라네(67-29),월세,27.36,202302,11,1000,60,1720,5,2017,제기로4길 14,12,신규,-,0,0
127.032815,37.5801819,제기동역,292,서울특별시 동대문구 제기동 1158-15,1158,15,푸른마을,전세,47.54,202306,17,17800,0,17800,5,2002,왕산로19다길 36,-,-,-, , 
127.0324617,37.5802851,제기동역,321,서울특별시 동대문구 제기동 1158-5,1158,5,푸른마을나동,전세,70.16,202304,17,27000,0,27000,4,2002,왕산로19다길 39,-,-,-, , 
127.0318383,37.584839,안암역,281,서울특별시 동대문구 제기동 146-19,146,19,한강뉴스타,전세,28.42,202304,20,26000,0,26000,5,2018,안암로 104-1,-,신규,-,0,0
127.0318383,37.584839,안암역,281,서울특별시 동대문구 제기동 146-19,146,19,한강뉴스타,월세,29.81,202308,25,300,100,700,6,2018,안암로 104-1,4,신규,-,0,0
127.0318383,37.584839,안암역,281,서울특별시 동대문구 제기동 146-19,146,19,한강뉴스타,월세,29.81,202308,26,2000,135,5105,5,2018,안암로 104-1,23,신규,-,0,0
127.034233,37.5843219,안암역,493,서울특별시 동대문구 제기동 205-2,205,2,한림타운,월세,41.89,202301,18,1000,85,2020,4,2003,약령시로5길 36,12,신규,-,0,0
