역이름,역지역,x,y,호선
고려대역,수도권,37.59043561,127.0363004,06호선
월곡역,수도권,37.60180442,127.0414471,06호선
상월곡역,수도권,37.60654081,127.0488111,06호선
돌곶이역,수도권,37.61053781,127.0564245,06호선
석계역,수도권,37.61500193,127.0656702,06호선
태릉입구역,수도권,37.61845592,127.0753917,06호선
봉화산역,수도권,37.61734543,127.0913612,06호선
장암역,수도권,37.69995296,127.0528183,07호선
도봉산역,수도권,37.68955853,127.0460537,07호선
수락산역,수도권,37.67787787,127.0553419,07호선
마들역,수도권,37.66519095,127.0576899,07호선
노원역,수도권,37.65634036,127.0634401,07호선
중계역,수도권,37.64507771,127.0641103,07호선
하계역,수도권,37.63646213,127.0679777,07호선
태릉입구역,수도권,37.61845592,127.0753917,07호선
먹골역,수도권,37.61061578,127.0777622,07호선
중화역,수도권,37.60254189,127.0792939,07호선
상봉역,수도권,37.59669897,127.0857421,07호선
면목역,수도권,37.58869687,127.0874993,07호선
사가정역,수도권,37.58092958,127.0884864,07호선
용마산역,수도권,37.57370489,127.0867572,07호선
중곡역,수도권,37.56586804,127.084258,07호선
군자역,수도권,37.5571497,127.0794948,07호선
어린이대공원역,수도권,37.54794467,127.0746417,07호선
건대입구역,수도권,37.54039761,127.0692029,07호선
뚝섬유원지역,수도권,37.53155118,127.0667736,07호선
청구역,수도권,37.56020299,127.0139212,06호선
화랑대역,수도권,37.61983796,127.0835259,06호선
청담역,수도권,37.51944838,127.0537089,07호선
강남구청역,수도권,37.51720086,127.0412872,07호선
학동역,수도권,37.5143566,127.0318974,07호선
논현역,수도권,37.51118739,127.0216486,07호선
반포역,수도권,37.50814341,127.0115816,07호선
고속터미널역,수도권,37.50453984,127.0051346,07호선
내방역,수도권,37.48765492,126.9935776,07호선
이수역,수도권,37.48678878,126.9822028,07호선
남성역,수도권,37.4847863,126.9708966,07호선
숭실대입구역,수도권,37.49631367,126.9536129,07호선
상도역,수도권,37.5028526,126.9479089,07호선
장승배기역,수도권,37.50488464,126.9390633,07호선
신대방삼거리역,수도권,37.49974281,126.928211,07호선
보라매역,수도권,37.49991814,126.9205886,07호선
신풍역,수도권,37.50010856,126.9097317,07호선
대림역,수도권,37.49330273,126.8949265,07호선
남구로역,수도권,37.48698929,126.8879703,07호선
가산디지털단지역,수도권,37.48038874,126.8826437,07호선
철산역,수도권,37.47619283,126.868202,07호선
광명사거리역,수도권,37.47929468,126.8548557,07호선
천왕역,수도권,37.48684204,126.8385816,07호선
온수역,수도권,37.49195669,126.8238253,07호선
까치울역,수도권,37.50620931,126.8113284,07호선
부천종합운동장역,수도권,37.50541107,126.7972158,07호선
신중동역,수도권,37.50294171,126.7768882,07호선
부천시청역,수도권,37.50462869,126.764058,07호선
삼산체육관역,수도권,37.50649141,126.7414097,07호선
굴포천역,수도권,37.50702756,126.731342,07호선
부평구청역,수도권,37.50741907,126.721433,07호선
암사역,수도권,37.55013386,127.1275373,08호선
공릉역,수도권,37.62553917,127.07302,07호선
춘의역,수도권,37.50368117,126.7869967,07호선
천호역,수도권,37.53849681,127.1239194,08호선
강동구청역,수도권,37.53019318,127.1204437,08호선
몽촌토성역,수도권,37.5178029,127.112845,08호선
잠실역,수도권,37.51330927,127.1002152,08호선
석촌역,수도권,37.50541053,127.1069905,08호선
송파역,수도권,37.49971136,127.1121845,08호선
가락시장역,수도권,37.49309205,127.1182582,08호선
문정역,수도권,37.48602386,127.1224758,08호선
장지역,수도권,37.4786317,127.126172,08호선
복정역,수도권,37.47073829,127.1267014,08호선
산성역,수도권,37.45679931,127.1500739,08호선
남한산성입구역,수도권,37.45166871,127.1598735,08호선
단대오거리역,수도권,37.4450234,127.156763,08호선
신흥역,수도권,37.44090864,127.1475336,08호선
수진역,수도권,37.43736718,127.1405209,08호선
모란역,수도권,37.43402749,127.1299614,08호선
계양역,수도권,37.57176634,126.7362714,인천선
귤현역,수도권,37.56628441,126.7426746,인천선
박촌역,수도권,37.55365762,126.7450494,인천선
임학역,수도권,37.54499402,126.7386289,인천선
계산역,수도권,37.54329353,126.7277267,인천선
경인교대입구역,수도권,37.53810989,126.7226087,인천선
작전역,수도권,37.53025304,126.7225473,인천선
갈산역,수도권,37.51711408,126.7215327,인천선
부평구청역,수도권,37.50741907,126.721433,인천선
부평시장역,수도권,37.49835698,126.7222809,인천선
부평역,수도권,37.48944182,126.7243266,인천선
동수역,수도권,37.48549993,126.7185973,인천선
부평삼거리역,수도권,37.47782129,126.7102825,인천선
인천시청역,수도권,37.45772679,126.7022222,인천선
예술회관역,수도권,37.44851514,126.7009026,인천선
인천터미널역,수도권,37.44191665,126.6996858,인천선
상동역,수도권,37.50577775,126.7531744,07호선
문학경기장역,수도권,37.43463332,126.6984495,인천선
선학역,수도권,37.42693984,126.6989096,인천선
신연수역,수도권,37.41809734,126.6940197,인천선
원인재역,수도권,37.41236884,126.6878756,인천선
동춘역,수도권,37.40456527,126.6808375,인천선
동막역,수도권,37.39793159,126.6734345,인천선
캠퍼스타운역,수도권,37.38843935,126.6622061,인천선
테크노파크역,수도권,37.38227737,126.6562946,인천선
지식정보단지역,수도권,37.3774892,126.6458615,인천선
인천대입구역,수도권,37.38619191,126.6395197,인천선
센트럴파크역,수도권,37.39284549,126.6349707,인천선
국제업무지구역,수도권,37.39964339,126.6305332,인천선
검단사거리역,수도권,37.60165397,126.6564203,인천2호선
마전역,수도권,37.59763047,126.6672189,인천2호선
독정역,수도권,37.58484283,126.6759936,인천2호선
검암역,수도권,37.56924921,126.6736388,인천2호선
검바위역,수도권,37.56111491,126.6775225,인천2호선
서구청역,수도권,37.54403015,126.6768266,인천2호선
가정역,수도권,37.52481684,126.6753484,인천2호선
석남역,수도권,37.50746614,126.6762831,인천2호선
서부여성회관역,수도권,37.50032905,126.6758616,인천2호선
인천가좌역,수도권,37.48982162,126.6752285,인천2호선
가재울역,수도권,37.48413238,126.6837557,인천2호선
주안국가산단역,수도권,37.47390817,126.6812212,인천2호선
주안역,수도권,37.46503882,126.6799476,인천2호선
시민공원역,수도권,37.45837437,126.6810611,인천2호선
석바위시장역,수도권,37.45766545,126.692344,인천2호선
인천시청역,수도권,37.45772679,126.7022222,인천2호선
