long,lat,cbd_m,gbd_m,ybd_m,north_hangang,district,address,jibun,station,station_m,univ,univ_m,road_m,scale,junse,month,date,guarantee,dong,rent_month,build,new_address,term,contract1,contract2,contract3...26,contract3...27,build_age,station_km,univ_km,cbd_km,gbd_km,ybd_km,scaled_guarantee,predicted,residuals,under_rated
126.9117836,37.5527738,3184.184371,13110.89607,5957.844253,1,nw,서울특별시 마포구 합정동,4**,합정역,396,홍익대학교,1256,8m미만,67.84,1,202307,14,28000,합정동,0,2006,월드컵로7길,202307~202507,갱신,사용,28000,0,17,0.396,1.256,3.184184371,13.11089607,5.957844253,412.7358491,20977.87554,7022.124462,0
126.9173239,37.5478665,2547.73938,12443.92226,5648.941941,1,nw,서울특별시 마포구 합정동,3**,합정역,340,홍익대학교,809,12m미만,70,1,202308,21,20000,합정동,0,1998,독막로6길,202308~202508,신규,-,0,0,25,0.34,0.809,2.54773938,12.44392226,5.648941941,285.7142857,20572.10228,-572.102283,1
126.9117836,37.5527738,3184.184371,13110.89607,5957.844253,1,nw,서울특별시 마포구 합정동,4**,합정역,396,홍익대학교,1256,8m미만,80.76,1,202309,9,33000,합정동,0,2003,월드컵로7길,202311~202511,신규,-,0,0,20,0.396,1.256,3.184184371,13.11089607,5.957844253,408.6181278,23608.79388,9391.206119,0
126.9133765,37.5468089,2509.185078,12721.63323,6016.834442,1,nw,서울특별시 마포구 합정동,3**,합정역,356,홍익대학교,1177,8m미만,81.84,1,202301,7,35000,합정동,0,1989,성지3길,202301~202501,갱신,사용,26500,0,34,0.356,1.177,2.509185078,12.72163323,6.016834442,427.6637341,22207.28382,12792.71618,0
126.9180911,37.5482737,2583.533871,12399.32598,5569.700156,1,nw,서울특별시 마포구 합정동,4**,합정역,369,홍익대학교,729,8m미만,84.41,1,202302,7,27300,합정동,0,1990,독막로5길,202302~202502,갱신,사용,27000,0,33,0.369,0.729,2.583533871,12.39932598,5.569700156,323.4213956,22919.8954,4380.104604,0
126.9111989,37.5455495,2441.161817,12849.7403,6246.060971,1,nw,서울특별시 마포구 현석동,*,합정역,562,홍익대학교,1408,8m미만,73.45,1,202305,22,26250,현석동,0,1967,토정로,202305~202405,갱신,-,26250,0,56,0.562,1.408,2.441161817,12.8497403,6.246060971,357.3859769,17416.99517,8833.004835,0
126.924722,37.5813155,6238.809627,13789.29074,4962.599685,1,nw,서울특별시 서대문구 남가좌동,3**,새절역,1447,명지대학교 인문캠퍼스,190,8m미만,15,1,202301,16,6500,남가좌동,0,2010,명지대1길,202302~202502,신규,-,0,0,13,1.447,0.19,6.238809627,13.78929074,4.962599685,433.3333333,8284.111953,-1784.111953,1
126.9230764,37.5777197,5834.993507,13661.09548,4975.992518,1,nw,서울특별시 서대문구 남가좌동,3**,가좌역,1235,명지대학교 인문캠퍼스,293,8m미만,16,1,202302,1,8000,남가좌동,0,2018,증가로10길,-,-,-,,,5,1.235,0.293,5.834993507,13.66109548,4.975992518,500,9672.11365,-1672.11365,1
126.9251457,37.5807036,6172.773935,13717.7965,4903.881388,1,nw,서울특별시 서대문구 남가좌동,*,새절역,1522,명지대학교 인문캠퍼스,199,8m미만,16,1,202302,2,8000,남가좌동,0,2018,명지대길,202302~202502,신규,-,0,0,5,1.522,0.199,6.172773935,13.7177965,4.903881388,500,9412.84509,-1412.84509,1
126.9230764,37.5777197,5834.993507,13661.09548,4975.992518,1,nw,서울특별시 서대문구 남가좌동,3**,가좌역,1235,명지대학교 인문캠퍼스,293,8m미만,16,1,202301,10,8000,남가좌동,0,2018,증가로10길,-,-,-,,,5,1.235,0.293,5.834993507,13.66109548,4.975992518,500,9672.11365,-1672.11365,1
